"Timestamp","Subject ID","Mind (E vs. I)","Energy (S vs. N)","Nature (T vs. F)","Tactics (J vs. P)","Identity (A vs. T)"
"2016/07/29 12:10:55 PM MDT","227","Extravert","Sensing","Feeling","Judging","Turbulent"
"2016/07/29 12:11:15 PM MDT","228","Introvert","Intuition","Feeling","Judging","Turbulent"
"2016/07/29 12:11:32 PM MDT","229","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/29 1:14:51 PM MDT","121","Extravert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/29 1:16:44 PM MDT","123","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/07/29 1:39:06 PM MDT","125","Introvert","Sensing","Feeling","Judging","Turbulent"
"2016/07/30 6:45:52 PM MDT","300","Introvert","Intuition","Thinking","Judging","Assertive"
"2016/07/30 7:05:58 PM MDT","310","Introvert","Intuition","Thinking","Perceiving","Turbulent"
"2016/07/30 7:40:27 PM MDT","311","Extravert","Sensing","Thinking","Judging","Turbulent"
"2016/07/30 7:48:57 PM MDT","312","Extravert","Sensing","Feeling","Judging","Assertive"
"2016/07/30 8:00:06 PM MDT","315","Extravert","Sensing","Thinking","Judging","Assertive"
"2016/07/30 8:17:38 PM MDT","317","Introvert","Sensing","Feeling","Perceiving","Assertive"
"2016/07/30 8:32:27 PM MDT","318","Introvert","Sensing","Thinking","Judging","Assertive"
"2016/08/01 9:24:31 PM MDT","313","Extravert","Intuition","Feeling","Judging","Turbulent"
"2016/08/01 9:34:19 PM MDT","316","Introvert","Intuition","Feeling","Judging","Turbulent"
"2016/08/01 9:40:13 PM MDT","319","Introvert","Sensing","Thinking","Judging","Turbulent"
"2016/08/01 9:45:14 PM MDT","320","Extravert","Sensing","Feeling","Judging","Assertive"
